Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
1,RELIANCE,Reliance Industries Limited,157706938
2,TCS,Tata Consultancy Services Limited,117305528
3,HDFCBANK,HDFC Bank Limited,89808750
4,ICICIBANK,ICICI Bank Limited,61248250
5,HINDUNILVR,Hindustan Unilever Limited,60157760
6,INFY,Infosys Limited,59239363
7,ITC,ITC Limited,47632201
8,SBIN,State Bank of India,46742655
9,BHARTIARTL,Bharti Airtel Limited,41757759
10,KOTAKBANK,Kotak Mahindra Bank Limited,34423149
11,BAJFINANCE,Bajaj Finance Limited,34005446
12,LICI,Life Insurance Corporation Of India,33797625
13,LT,Larsen & Toubro Limited,30416456
14,HCLTECH,HCL Technologies Limited,29450050
15,ASIANPAINT,Asian Paints Limited,26489686
16,AXISBANK,Axis Bank Limited,26412100
17,MARUTI,Maruti Suzuki India Limited,25048932
18,SUNPHARMA,Sun Pharmaceutical Industries Limited,23587862
19,TITAN,Titan Company Limited,22326934
20,DMART,Avenue Supermarts Limited,22031141
21,ULTRACEMCO,UltraTech Cement Limited,22003820
22,BAJAJFINSV,Bajaj Finserv Limited,20173008
23,WIPRO,Wipro Limited,20044620
24,ADANIENT,Adani Enterprises Limited,19955150
25,ONGC,Oil & Natural Gas Corporation Limited,19002512
26,NTPC,NTPC Limited,16978862
27,JSWSTEEL,JSW Steel Limited,16632894
28,POWERGRID,Power Grid Corporation of India Limited,15743597
29,M&M,Mahindra & Mahindra Limited,14408769
30,LTIM,LTIMindtree Limited,14079903
31,TATAMOTORS,Tata Motors Limited,13976217
32,ADANIGREEN,Adani Green Energy Limited,13957702
33,ADANIPORTS,Adani Ports and Special Economic Zone Limited,13649918
34,COALINDIA,Coal India Limited,13166669
35,TATASTEEL,Tata Steel Limited,12771502
36,HINDZINC,Hindustan Zinc Limited,12394973
37,PIDILITIND,Pidilite Industries Limited,11960634
38,SIEMENS,Siemens Limited,11848655
39,ADANITRANS,Adani Transmission Limited,11077400
40,SBILIFE,SBI Life Insurance Company Limited,11020676
41,IOC,Indian Oil Corporation Limited,11000445
42,BAJAJ-AUTO,Bajaj Auto Limited,10992186
43,GRASIM,Grasim Industries Limited,10750221
44,TECHM,Tech Mahindra Limited,10733644
45,HDFCLIFE,HDFC Life Insurance Company Limited,10729624
46,BRITANNIA,Britannia Industries Limited,10410689
